last_review,number_of_reviews,room_type,host_host_id,bed_type,price,host_host_id.1,property_type,address_country,host_host_is_superhost,host_host_total_listings_count,address_market,availability_availability_30,availability_availability_60,availability_availability_90,availability_availability_365,review_year,review_month,review_day
2019-01-23,16,Entire home/apt,318040,Real Bed,250,318040,Condominium,Canada,False,70,Montreal,15,33,57,265,2019,01,23
2017-10-08,4,Private room,45406531,Airbed,60,45406531,Apartment,United States,False,1,New York,0,0,0,0,2017,10,08
2017-06-17,3,Private room,20373808,Real Bed,63,20373808,Townhouse,Australia,False,1,Sydney,0,0,0,0,2017,06,17
2018-02-25,122,Entire home/apt,9932670,Real Bed,168,9932670,House,United States,False,1,New York,0,0,0,33,2018,02,25
2018-07-04,40,Entire home/apt,3574213,Real Bed,83,3574213,Apartment,Canada,False,1,Montreal,0,0,0,0,2018,07,04
2019-01-07,45,Entire home/apt,136195121,Real Bed,77,136195121,Condominium,Portugal,False,1,Porto,24,51,81,228,2019,01,07
2017-10-08,6,Private room,1601567,Real Bed,50,1601567,Apartment,Canada,False,1,Montreal,0,0,0,0,2017,10,08
2019-02-18,47,Private room,13649613,Real Bed,53,13649613,House,United States,False,8,New York,15,31,35,35,2019,02,18
2019-02-23,40,Entire home/apt,9675822,Real Bed,141,9675822,Apartment,Australia,False,1,Sydney,11,41,71,162,2019,02,23
2018-04-06,24,Entire home/apt,10335937,Real Bed,197,10335937,Apartment,United States,False,1,New York,0,0,0,0,2018,04,06
2018-11-18,42,Private room,130265495,Real Bed,25,130265495,Apartment,Spain,False,3,Barcelona,5,12,27,295,2018,11,18
2019-02-22,74,Entire home/apt,34920887,Real Bed,90,34920887,Apartment,Canada,True,1,Montreal,25,53,65,65,2019,02,22
2017-09-25,3,Private room,132447942,Real Bed,86,132447942,Boutique hotel,Brazil,False,1,Rio De Janeiro,30,33,33,33,2017,09,25
2019-02-27,92,Private room,77652983,Real Bed,30,77652983,Apartment,Spain,True,1,Barcelona,6,15,21,67,2019,02,27
2019-03-06,147,Entire home/apt,2083001,Real Bed,848,2083001,Apartment,Hong Kong,True,5,Hong Kong,16,46,76,351,2019,03,06
2018-05-11,2,Entire home/apt,130485798,Real Bed,316,130485798,Apartment,United States,False,30,New York,14,44,74,246,2018,05,11
2018-09-15,10,Entire home/apt,133764433,Real Bed,300,133764433,House,Portugal,False,1,Porto,30,60,90,164,2018,09,15
2018-12-05,41,Private room,936114,Real Bed,160,936114,Apartment,United States,False,2,New York,0,0,5,123,2018,12,05
2019-02-13,56,Entire home/apt,136036429,Real Bed,50,136036429,Apartment,Portugal,False,1,Porto,5,30,60,335,2019,02,13
2017-08-08,1,Entire home/apt,136757714,Real Bed,170,136757714,Apartment,Canada,False,1,Montreal,0,0,0,0,2017,08,08
2019-01-15,87,Entire home/apt,128963393,Real Bed,60,128963393,Apartment,Portugal,True,3,Porto,3,9,15,51,2019,01,15
2019-02-16,100,Entire home/apt,69124870,Real Bed,315,69124870,Apartment,United States,False,4,New York,3,10,26,236,2019,02,16
2018-07-17,20,Private room,131293304,Real Bed,51,131293304,Apartment,United States,False,1,New York,1,1,16,16,2018,07,17
2019-02-25,102,Entire home/apt,91922030,Real Bed,180,91922030,Bungalow,United States,True,2,New York,0,9,28,296,2019,02,25
2018-03-12,14,Entire home/apt,133295031,Real Bed,170,133295031,Apartment,Canada,False,1,Montreal,23,53,83,83,2018,03,12
2019-02-23,91,Private room,13161520,Real Bed,85,13161520,Townhouse,United States,True,3,New York,29,51,81,356,2019,02,23
2015-11-01,1,Private room,2765870,Real Bed,80,2765870,Apartment,United States,False,1,New York,0,0,0,0,2015,11,01
2019-03-05,50,Entire home/apt,100550058,Real Bed,100,100550058,Condominium,United States,False,1,New York,2,6,11,29,2019,03,05
2018-10-19,2,Entire home/apt,107503112,Real Bed,343,107503112,House,United States,False,5,New York,29,59,89,352,2018,10,19
2018-01-28,18,Entire home/apt,30120403,Real Bed,40,30120403,Apartment,Canada,False,3,Montreal,0,0,0,0,2018,01,28
2019-01-19,6,Private room,117292423,Real Bed,353,117292423,Apartment,Hong Kong,False,1,Hong Kong,14,14,34,240,2019,01,19
2019-01-04,55,Entire home/apt,130609625,Real Bed,35,130609625,Apartment,Portugal,False,1,Porto,30,60,90,176,2019,01,04
2018-02-26,7,Private room,115306074,Real Bed,75,115306074,House,Australia,False,2,Sydney,4,26,56,147,2018,02,26
2018-01-13,2,Entire home/apt,3491167,Real Bed,600,3491167,Townhouse,Australia,False,1,Sydney,27,57,87,88,2018,01,13
2019-03-08,34,Private room,32819217,Real Bed,196,32819217,Guesthouse,Hong Kong,False,15,Hong Kong,30,60,90,143,2019,03,08
2018-06-09,4,Entire home/apt,30907275,Real Bed,100,30907275,Apartment,Portugal,True,82,Porto,23,53,83,348,2018,06,09
